claim_id,label,claim_text,claim_type,originator_actor_id,first_publication_date,status,adjudication_status,confidence,source_ids,notes
C1,Antisemitismeframing,"Kritiek op Israël, zionisme of Israëlische staatspraktijken wordt geframed als antisemitisme of als gevaar voor Joodse veiligheid.",rhetorical_strategy,ELSC,2015,documented_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,Niet elke antisemitismemelding is instrumenteel; per casus scheiden.
C2,Terror-link allegation,"Organisaties of personen worden geassocieerd met Hamas, PFLP of terrorismefinanciering via rapporten, media of Kamervragen.",rhetorical_strategy,NGO_MONITOR,2020,transmission_documented,unadjudicated_contested,high,S_ELSC_JOODS_TELEGRAAF_ALMEZAN;S_TK_NGOMONITOR_2026_VVD,Altijd markeren als aantijging tenzij onafhankelijk geadjudiceerd.
C3,Karaktermoord / persoonlijke delegitimatie,"De persoon of organisatie wordt centraal gemaakt, vaak met morele of historische beladenheid, in plaats van de inhoudelijke claim.",rhetorical_strategy,TRF,2019,advocacy_counterdocumentation,not_adjudicated,medium_high,S_TRF_CHARACTER_2019,Bronrol expliciet houden omdat TRF zelf actor en target is.
C4,Veiligheidsframe / onveiligheidsclaim,"Bijeenkomsten of uitingen worden geframed als bedreigend voor Joodse veiligheid of sociale veiligheid.",rhetorical_strategy,CIDI,2023,documented_pattern_plus_case_reporting,not_adjudicated,medium_high,S_ELSC_2021;S_NOS_HU_CIDI_2024,Niet reduceren tot schijnveiligheid.
C5,Subsidie- en fondsendruk,"Donoren worden onder druk gezet om financiële steun aan Palestijnse of kritische organisaties te stoppen.",rhetorical_strategy,ELSC,2015,documented_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,Onderscheid aantijging, onderzoek, subsidie-effect en politieke druk.
C6,Schijn van onafhankelijke expertise,"Rapporten of watchdogclaims worden als neutrale expertise gepresenteerd terwijl bronpositie, financiering of politieke functie betwist is.",rhetorical_strategy,NRC,2026,contested_source_role,unadjudicated_contested,medium,S_NGOMONITOR_RESPONSE_NRC_2026;S_RIGHTSFORUM_FREESPEECH_2021,Niet oplossen via autoriteitsargument.
C7,Chilling effect,"Zelfcensuur of institutionele terugtrekking door anticipatie op klachten, reputatieschade, rechtszaken of media-aanvallen.",impact_mechanism,ELSC,2015,documented_impact_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,Meetbaar maken via afgezegde events, taalverzachting.
C8,NGO Monitor alleges Oxfam Novib / DRA terror links,"NGO Monitor rapport bevat aantijgingen over terrorismefinanciering via Oxfam Novib en Dutch Relief Alliance.",allegation,NGO_MONITOR,2025,contested_claim,unadjudicated_contested,high,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,Kabinet heeft geen ondersteunende informatie.
C9,NGO Monitor alleges Al Mezan PFLP links,"NGO Monitor publiceerde aantijgingen over Al Mezan-banden met PFLF, gerepliceerd door Joods.nl en De Telegraaf.",allegation,NGO_MONITOR,2020,transmission_documented,unadjudicated_contested,medium_high,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,Transmissieroute gedocumenteerd door ELSC.
C10,NGO Monitor alleges UAWC terror links,"NGO Monitor rapportage gebruikt tegen UAWC-financiering.",allegation,NGO_MONITOR,2020,contested_claim,unadjudicated_contested,medium_high,S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,TRF/ELSC bron.
C11,CestMocro antisemitism/incitement claim,"CestMocro zou aanzetten tot haat en geweld tegen Joden.",legal_claim,CIDI,2023,legal_complaint_filed,not_adjudicated,high,S_CIDI_CESTMOCRO_2023;S_NOS_CESTMOCRO_2023,Beschrijft aangifte, niet rechterlijke uitspraak.
C12,Schoolbook antisemitism claim,"Schoolboeken van ThiemeMeulenhoff en Noordhoff bevatten antisemitische/anti-Israël fouten.",campaign_claim,LIKOED_NL,2015,verified_public_campaign,not_adjudicated,high,S_LIKOED_THIEME_2015;S_JONET_NOORDHOFF_2019,Likoed-campagne; inhoud niet onafhankelijk geverifieerd.
C13,HU CIDI collaboration safety claim,"CIDI karakteriseerde uitstel Holocaust-lezingen als gevolg van intimidatie en dreigementen.",safety_frame,CIDI,2024,reported_public_statement,not_adjudicated,high,S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,Statement CIDI na uitstel HU-collegereeks.
C14,Media 'Palestinisering' frame,"Wierd Duk stelt dat media en onderwijs 'gepalestiniseerd' worden.",commentary_frame,WIERD_DUK,2026,verified_public_content,not_adjudicated,high,S_NVD_WIERD_DUK_2026,Opinie van journalist.
C15,Antizionism-as-antisemitism frame,"Antizionisme wordt gelijkgesteld aan antisemitisme in publiek discours.",discourse_frame,CIDI,multi-year,source_claim,not_adjudicated,medium,S_ELSC_2021;S_CVANDAAG_BARTSCHUT_2017,CIDI-link in sommige contexten.
