case_id,case_name,claim_id,originator_actor_id,first_publication_date,amplifier_actors,institutional_target,outcome,chain,primary_source_ids,adjudication_status,confidence,risk_flags,pattern_strength,transmission_strength,impact_strength,capture_risk,independent_verification_level,institutional_self_interest
CASE_NGO_OXFAM_2026,NGO Monitor -> Oxfam Novib/DRA Kamervragen 2026,C8,NGO_MONITOR,2025,TELEGRAAF;VVD;PVV,DUTCH_GOV;OXFAM_NOVIB;DRA,official_nonconfirmation;due_diligence_assertion,NGO_MONITOR_REPORT_2025 -> TELEGRAAF_ARTICLE_2026 -> PQ_RAJKOWSKI_VVD + PQ_MARKUSZOWER_PVV -> GOV_RESPONSE_NONCONFIRM + GOV_DUEDILIGENCE,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER;S_RIJK_NGOMONITOR_2025,unadjudicated_contested,high,defamation_sensitive,high,high,medium,high,low,high
CASE_ALMEZAN_2020,NGO Monitor -> Al Mezan via Joods.nl/Telegraaf/PVV 2020,C9,NGO_MONITOR,2020,JOODS_NL;TELEGRAAF;PVV;CIDI,AL_MEZAN,parliamentary_questions_entered,"NGO_MONITOR_ALLEGATION -> JOODS_NL_ARTICLE + TELEGRAAF_ARTICLE -> PVV_KAMERVRAAG -> CIDI_PUBLICATIE (ELSC-gedocumenteerd, niet per artikel geverifieerd)",S_ELSC_JOODS_TELEGRAAF_ALMEZAN,unadjudicated_contested,medium_high,defamation_sensitive;contested_claim,high,high,medium,high,low,high
CASE_UAWC_DEFUNDING,NGO Monitor -> UAWC defunding context,C10,NGO_MONITOR,2020,TELEGRAAF;TRF,UAWC;DUTCH_DONORS,funding_pressure_documented,NGO_MONITOR_ALLEGATION -> TELEGRAAF_AMPLIFICATION -> TRF_COUNTERDOCUMENTATIE -> UK_NL_FUNDING_CONTEXT (geen direct NL-besluit in dataset),S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,unadjudicated_contested,medium_high,defamation_sensitive,medium,medium,medium,high,low,high
CASE_CESTMOCRO_2023,CIDI aangifte tegen CestMocro,C11,CIDI,2023,,CESTMOCRO;DUTCH_GOV,legal_complaint_filed,CIDI_PRESS_RELEASE -> NOS_REPORTING + CIDI_CABINET_REQUEST (geen rechterlijke uitspraak gevolgd),S_CIDI_CESTMOCRO_2023;S_NOS_CESTMOCRO_2023,not_adjudicated,high,legal_claim,medium,high,medium,medium,low,high
CASE_SCHOOLBOOK_2015,Likoed -> ThiemeMeulenhoff schoolboekcampagne,C12,LIKOED_NL,2015,,THIEMEMEULENHOFF,campaign_publication,LIKOED_BLOG_2015 -> PUBLIC_DRUK (geen bekend beleidseffect richting ThiemeMeulenhoff),S_LIKOED_THIEME_2015,not_adjudicated,high,none,low,low,low,low,low,low
CASE_SCHOOLBOOK_2019,Likoed -> Noordhoff schoolboekcampagne,C12,LIKOED_NL,2019,,NOORDHOFF,campaign_publication,LIKOED_CAMPAIGN -> JONET_REPORTING -> CIDI_SCHOOLBOEK_ADVIES_AANGEHAALD (geen bekend correctie-effect),S_JONET_NOORDHOFF_2019,not_adjudicated,high,none,low,low,low,low,low,low
CASE_HU_CIDI_2024,HU CIDI Holocaust-lezingen controverse 2024,C13,CIDI,2024,TELEGRAAF;GEENSTIJL;DILAN_YESILGOZ;CAROLINE_VDP;PIETER_OMTZIGT;BBB;VVD;NSC,HU,event_postponement;political_pressure,"CIDI_KLACHT_OVER_VEILIGHEID -> HU_STELT_UIT -> TELEGRAAF_BERICHTGEVING -> GEENSTIJL_AMPLIFICATIE -> POLITIEKE_REACTIES (Yesilgoz,VdPlas,Omtzigt) -> HU_ONDER_DRUK (geen bewijs van CIDI-media-coordinatie in open bronnen)",S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,not_adjudicated,high,none,medium,high,high,medium,low,medium
CASE_IAF_CAUCUS_2013,Oprichting IAF/IIACF Netherlands caucus,,IAF,2013,KEES_VD_STAAIJ;JOEL_VOORDEWIND;SGP;CU,TWEEDE_KAMER,network_formation,"SGP+CU_PARLEMENTARIERS -> IIACF_AANSLUITING -> JONET_REPORTING -> IAF_WEBSITE_NETWERK_PAGINA (officiele bron IAF, bevestigd door Jonet 2013)",S_IAF_MEMBERS;S_JONET_IIACF_2013,not_adjudicated,high,none,medium,medium,high,low,high,medium
CASE_CESTMOCRO_BAN_2024,BBB/Van der Plas suggestie CestMocro-verbod,,CAROLINE_VDP,2024,BBB,CESTMOCRO,public_ban_suggestion,VAN_DER_PLAS_PUBLIEKE_UITLATING -> VILLAMEDIA_REPORTING (geen Kamervraag of wetsvoorstel gevolgd),S_VILLAMEDIA_CESTMOCRO_2024,not_adjudicated,high,speech_restriction,low,low,low,medium,medium,medium
CASE_IAF_EU_OFFICE,IAF Europe opent Nederlands kantoor,,IAF_EU,current,,NETHERLANDS_OFFICE,organizational_footprint,IAF_EU_ZELF_OPENBAARMAKING -> KANTOOR_NEDERLAND (geen directe NL-lobby-edges aan verbonden in dataset),S_IAF_EU_NL_OFFICE,not_adjudicated,high,none,low,low,low,low,high,medium
